"date_created","description","followers","following","id","image_url","is_bot","last_updated","name","screen_name","political_leaning","account_category"
"0000-00-00 00:00:00",,"637","476","2196634009",,"1","0000-00-00 00:00:00",,"VARVARAGRNVA","Russian","NonEnglish"
"0000-00-00 00:00:00",,"353","934","2199441192",,"1","0000-00-00 00:00:00",,"IVANIMLIN","Russian","NonEnglish"
"0000-00-00 00:00:00",,"612","1","2200880839",,"1","0000-00-00 00:00:00",,"SACHCLOUD","Russian","NonEnglish"
"0000-00-00 00:00:00",,"175","116","2201407177",,"1","0000-00-00 00:00:00",,"VOLODINART","Russian","NonEnglish"
"0000-00-00 00:00:00",,"240","435","2203008679",,"1","0000-00-00 00:00:00",,"LOVEPIZZZZZZZA","Russian","NonEnglish"
"0000-00-00 00:00:00",,"266","255","2208128492",,"1","0000-00-00 00:00:00",,"NIKOLAEVNI","Russian","NonEnglish"
"0000-00-00 00:00:00",,"238","183","2208544764",,"1","0000-00-00 00:00:00",,"VARVARA_KOP","Russian","NonEnglish"
"0000-00-00 00:00:00",,"672","472","2209025676",,"1","0000-00-00 00:00:00",,"DORSOR077","Russian","NonEnglish"
"0000-00-00 00:00:00",,"201","333","2210240563",,"1","0000-00-00 00:00:00",,"GORBENKOVAA_","Russian","NonEnglish"
"0000-00-00 00:00:00",,"234","148","2211802500",,"1","0000-00-00 00:00:00",,"LENOCHKAMARKOVA","Russian","NonEnglish"
"0000-00-00 00:00:00",,"611","1373","2212451119",,"1","0000-00-00 00:00:00",,"CUSTOMERNUMBA1","Russian","NonEnglish"
"0000-00-00 00:00:00",,"643","452","2218356331",,"1","0000-00-00 00:00:00",,"ERMASHOVA90","Russian","NonEnglish"
"0000-00-00 00:00:00",,"4064","1585","2231059909",,"1","0000-00-00 00:00:00",,"NEVNOVPR","Russian","NonEnglish"
"0000-00-00 00:00:00",,"215","1640","2233087428",,"1","0000-00-00 00:00:00",,"GRISHINKOST","Russian","NonEnglish"
"0000-00-00 00:00:00",,"137","1451","2233154604",,"1","0000-00-00 00:00:00",,"KOLYA177","Russian","NonEnglish"
"0000-00-00 00:00:00",,"343","222","2233323512",,"1","0000-00-00 00:00:00",,"NEZNKATE","Russian","NonEnglish"
"0000-00-00 00:00:00",,"407","476","2233326888",,"1","0000-00-00 00:00:00",,"LARINVIKA","Russian","NonEnglish"
"0000-00-00 00:00:00",,"259","879","2233421790",,"1","0000-00-00 00:00:00",,"MARINAREMAN","Russian","NonEnglish"
"0000-00-00 00:00:00",,"205","1578","2233551757",,"1","0000-00-00 00:00:00",,"NEW_AGEOFMEE","Russian","NonEnglish"
"0000-00-00 00:00:00",,"163","468","2233614560",,"1","0000-00-00 00:00:00",,"GLOTOVANNA","Russian","NonEnglish"
"0000-00-00 00:00:00",,"152","111","2233641673",,"1","0000-00-00 00:00:00",,"RINATSABIL","Russian","NonEnglish"
"0000-00-00 00:00:00",,"103","143","2233665668",,"1","0000-00-00 00:00:00",,"VLADISLAV_POM","Russian","NonEnglish"
"0000-00-00 00:00:00",,"183","11","2233684705",,"1","0000-00-00 00:00:00",,"IDRISMADZHEED","Russian","NonEnglish"
"0000-00-00 00:00:00",,"628","1945","2233847010",,"1","0000-00-00 00:00:00",,"PAUCHENS","Russian","NonEnglish"
"0000-00-00 00:00:00",,"259","266","2233907053",,"1","0000-00-00 00:00:00",,"LADADELREEY","Russian","NonEnglish"
"0000-00-00 00:00:00",,"169","1561","2233929553",,"1","0000-00-00 00:00:00",,"RUSLANVAXIDOV","Russian","NonEnglish"
"0000-00-00 00:00:00",,"117","269","2234176033",,"1","0000-00-00 00:00:00",,"KRAPIVEC","Russian","NonEnglish"
"0000-00-00 00:00:00",,"760","1675","2234501940",,"1","0000-00-00 00:00:00",,"SALAD124","Russian","NonEnglish"
"0000-00-00 00:00:00",,"92","44","2234762245",,"1","0000-00-00 00:00:00",,"DMITR_MIRONOV","Russian","NonEnglish"
"0000-00-00 00:00:00",,"565","419","2234808302",,"1","0000-00-00 00:00:00",,"SOBAKIKAZINAKI","Russian","NonEnglish"
"0000-00-00 00:00:00",,"250","162","2234854862",,"1","0000-00-00 00:00:00",,"GROMOVAGIRLL","Russian","NonEnglish"
"0000-00-00 00:00:00",,"790","1968","2235930822",,"1","0000-00-00 00:00:00",,"IGORKLEMENTEV","Russian","NonEnglish"
"0000-00-00 00:00:00",,"196","1467","2236241492",,"1","0000-00-00 00:00:00",,"FILINLEONID","Russian","NonEnglish"
"0000-00-00 00:00:00",,"359","194","2237122471",,"1","0000-00-00 00:00:00",,"MILENA_NIHAO","Russian","NonEnglish"
